,filename,bounding_boxes
19794,..\MarioNet64_Color\frame_12820.jpg,"[(395, 130, 213, 251), (259, 220, 74, 51), (140, 173, 189, 112), (84, 94, 56, 87), (174, 4, 115, 53)]"
19795,..\MarioNet64_Color\frame_12820.jpg,"[0, 4, 4, 4, 4]"
19796,..\MarioNet64_Color\frame_12821.jpg,"[(395, 130, 213, 251), (259, 220, 74, 51), (140, 173, 189, 112), (84, 94, 56, 87), (174, 4, 115, 53)]"
19797,..\MarioNet64_Color\frame_12821.jpg,"[0, 4, 4, 4, 4]"
19798,..\MarioNet64_Color\frame_12822.jpg,"[(395, 129, 216, 252), (259, 214, 77, 58), (138, 173, 199, 114), (86, 100, 74, 88), (175, 4, 113, 54)]"
19799,..\MarioNet64_Color\frame_12822.jpg,"[0, 4, 4, 4, 4]"
19800,..\MarioNet64_Color\frame_12823.jpg,"[(395, 129, 216, 252), (259, 214, 77, 58), (138, 173, 199, 114), (86, 100, 74, 88), (175, 4, 113, 54)]"
19801,..\MarioNet64_Color\frame_12823.jpg,"[0, 4, 4, 4, 4]"
19802,..\MarioNet64_Color\frame_12824.jpg,"[(394, 128, 218, 253), (262, 223, 75, 50), (142, 173, 198, 115), (92, 107, 69, 87), (172, 4, 116, 54)]"
19803,..\MarioNet64_Color\frame_12824.jpg,"[0, 4, 4, 4, 4]"
19804,..\MarioNet64_Color\frame_12825.jpg,"[(394, 128, 218, 253), (262, 223, 75, 50), (142, 173, 198, 115), (91, 107, 70, 87), (172, 4, 116, 54)]"
19805,..\MarioNet64_Color\frame_12825.jpg,"[0, 4, 4, 4, 4]"
19806,..\MarioNet64_Color\frame_12826.jpg,"[(394, 127, 219, 254), (258, 221, 79, 54), (141, 173, 196, 116), (91, 107, 69, 86), (174, 4, 117, 53)]"
19807,..\MarioNet64_Color\frame_12826.jpg,"[0, 4, 4, 4, 4]"
19808,..\MarioNet64_Color\frame_12827.jpg,"[(394, 126, 221, 255), (260, 213, 77, 64), (140, 173, 197, 117), (91, 107, 70, 86), (173, 4, 116, 53)]"
19809,..\MarioNet64_Color\frame_12827.jpg,"[0, 4, 4, 4, 4]"
19810,..\MarioNet64_Color\frame_12828.jpg,"[(394, 125, 223, 256), (261, 230, 77, 47), (142, 173, 194, 118), (93, 107, 68, 87), (175, 4, 116, 53)]"
19811,..\MarioNet64_Color\frame_12828.jpg,"[0, 4, 4, 4, 4]"
19812,..\MarioNet64_Color\frame_12829.jpg,"[(394, 125, 223, 256), (261, 230, 77, 47), (142, 173, 194, 118), (93, 107, 68, 87), (175, 4, 116, 53)]"
19813,..\MarioNet64_Color\frame_12829.jpg,"[0, 4, 4, 4, 4]"
19814,..\MarioNet64_Color\frame_12830.jpg,"[(392, 119, 229, 262), (260, 223, 80, 56), (140, 173, 196, 119), (91, 102, 71, 89), (180, 4, 111, 54)]"
19815,..\MarioNet64_Color\frame_12830.jpg,"[0, 4, 4, 4, 4]"
19816,..\MarioNet64_Color\frame_12831.jpg,"[(391, 116, 231, 265), (263, 228, 77, 52), (142, 173, 194, 120), (88, 99, 75, 89), (179, 4, 112, 53)]"
19817,..\MarioNet64_Color\frame_12831.jpg,"[0, 4, 4, 4, 4]"
19818,..\MarioNet64_Color\frame_12832.jpg,"[(391, 116, 231, 265), (260, 228, 80, 52), (140, 173, 196, 120), (88, 99, 75, 89), (179, 4, 112, 53)]"
19819,..\MarioNet64_Color\frame_12832.jpg,"[0, 4, 4, 4, 4]"
19820,..\MarioNet64_Color\frame_12833.jpg,"[(390, 113, 233, 268), (261, 223, 80, 58), (139, 173, 205, 120), (88, 96, 72, 90), (180, 4, 113, 54)]"
19821,..\MarioNet64_Color\frame_12833.jpg,"[0, 4, 4, 4, 4]"
19822,..\MarioNet64_Color\frame_12834.jpg,"[(390, 113, 233, 268), (261, 223, 80, 58), (140, 173, 204, 120), (88, 96, 72, 90), (180, 4, 113, 54)]"
19823,..\MarioNet64_Color\frame_12834.jpg,"[0, 4, 4, 4, 4]"
19824,..\MarioNet64_Color\frame_12835.jpg,"[(389, 110, 235, 271), (263, 221, 77, 61), (140, 173, 204, 120), (87, 94, 55, 90), (180, 4, 112, 54)]"
19825,..\MarioNet64_Color\frame_12835.jpg,"[0, 4, 4, 4, 4]"
19826,..\MarioNet64_Color\frame_12836.jpg,"[(389, 110, 235, 271), (263, 221, 77, 61), (140, 173, 204, 120), (87, 94, 55, 90), (180, 4, 113, 54)]"
19827,..\MarioNet64_Color\frame_12836.jpg,"[0, 4, 4, 4, 4]"
19828,..\MarioNet64_Color\frame_12837.jpg,"[(388, 107, 237, 274), (264, 216, 77, 67), (141, 173, 204, 123), (86, 91, 54, 91), (181, 4, 112, 54)]"
19829,..\MarioNet64_Color\frame_12837.jpg,"[0, 4, 4, 4, 4]"
19830,..\MarioNet64_Color\frame_12838.jpg,"[(388, 107, 237, 274), (262, 216, 79, 67), (141, 173, 204, 123), (86, 91, 54, 91), (181, 4, 112, 54)]"
19831,..\MarioNet64_Color\frame_12838.jpg,"[0, 4, 4, 4, 4]"
19832,..\MarioNet64_Color\frame_12839.jpg,"[(386, 103, 239, 278), (262, 215, 76, 68), (141, 173, 204, 124), (85, 88, 55, 92), (181, 4, 112, 54)]"
19833,..\MarioNet64_Color\frame_12839.jpg,"[0, 4, 4, 4, 4]"
19834,..\MarioNet64_Color\frame_12840.jpg,"[(386, 103, 239, 278), (262, 215, 76, 68), (141, 173, 204, 124), (85, 88, 55, 92), (181, 4, 112, 54)]"
19835,..\MarioNet64_Color\frame_12840.jpg,"[0, 4, 4, 4, 4]"
19836,..\MarioNet64_Color\frame_12841.jpg,"[(385, 100, 243, 281), (262, 216, 77, 69), (141, 173, 204, 124), (84, 86, 58, 93), (181, 4, 109, 54)]"
19837,..\MarioNet64_Color\frame_12841.jpg,"[0, 4, 4, 4, 4]"
19838,..\MarioNet64_Color\frame_12842.jpg,"[(385, 100, 243, 281), (262, 214, 77, 71), (141, 173, 204, 124), (84, 86, 58, 93), (181, 4, 109, 54)]"
19839,..\MarioNet64_Color\frame_12842.jpg,"[0, 4, 4, 4, 4]"
19840,..\MarioNet64_Color\frame_12843.jpg,"[(384, 97, 245, 284), (262, 223, 77, 61), (141, 173, 203, 124), (84, 83, 58, 93), (181, 4, 111, 54)]"
19841,..\MarioNet64_Color\frame_12843.jpg,"[0, 4, 4, 4, 4]"
19842,..\MarioNet64_Color\frame_12844.jpg,"[(384, 97, 245, 284), (262, 223, 77, 61), (141, 173, 203, 124), (87, 83, 55, 93), (181, 4, 111, 54)]"
19843,..\MarioNet64_Color\frame_12844.jpg,"[0, 4, 4, 4, 4]"
19844,..\MarioNet64_Color\frame_12845.jpg,"[(383, 94, 249, 287), (263, 230, 75, 55), (141, 173, 204, 125), (84, 86, 57, 86), (182, 4, 115, 54)]"
19845,..\MarioNet64_Color\frame_12845.jpg,"[0, 4, 4, 4, 4]"
19846,..\MarioNet64_Color\frame_12846.jpg,"[(383, 94, 249, 287), (263, 230, 75, 55), (141, 173, 204, 125), (84, 84, 57, 91), (182, 4, 115, 54)]"
19847,..\MarioNet64_Color\frame_12846.jpg,"[0, 4, 4, 4, 4]"
19848,..\MarioNet64_Color\frame_12847.jpg,"[(380, 91, 252, 290), (263, 229, 76, 57), (140, 173, 207, 126), (83, 86, 57, 89), (179, 4, 111, 54)]"
19849,..\MarioNet64_Color\frame_12847.jpg,"[0, 4, 4, 4, 4]"
19850,..\MarioNet64_Color\frame_12848.jpg,"[(380, 91, 252, 290), (263, 231, 74, 55), (140, 173, 207, 126), (86, 86, 54, 89), (179, 4, 111, 54)]"
19851,..\MarioNet64_Color\frame_12848.jpg,"[0, 4, 4, 4, 4]"
19852,..\MarioNet64_Color\frame_12849.jpg,"[(378, 88, 256, 293), (263, 237, 75, 51), (141, 173, 204, 126), (83, 80, 57, 94), (181, 4, 115, 54)]"
19853,..\MarioNet64_Color\frame_12849.jpg,"[0, 4, 4, 4, 4]"
19854,..\MarioNet64_Color\frame_12850.jpg,"[(378, 88, 256, 293), (263, 237, 75, 51), (142, 173, 203, 126), (83, 80, 57, 93), (181, 4, 115, 54)]"
19855,..\MarioNet64_Color\frame_12850.jpg,"[0, 4, 4, 4, 4]"
19856,..\MarioNet64_Color\frame_12851.jpg,"[(378, 86, 257, 295), (264, 237, 74, 51), (142, 173, 204, 127), (85, 79, 55, 94), (182, 4, 115, 54)]"
19857,..\MarioNet64_Color\frame_12851.jpg,"[0, 4, 4, 4, 4]"
19858,..\MarioNet64_Color\frame_12852.jpg,"[(378, 86, 257, 295), (263, 237, 75, 51), (142, 173, 204, 127), (85, 79, 55, 94), (182, 4, 115, 54)]"
19859,..\MarioNet64_Color\frame_12852.jpg,"[0, 4, 4, 4, 4]"
19860,..\MarioNet64_Color\frame_12853.jpg,"[(376, 83, 261, 298), (264, 236, 74, 53), (138, 173, 208, 127), (83, 80, 57, 93), (182, 4, 115, 54)]"
19861,..\MarioNet64_Color\frame_12853.jpg,"[0, 4, 4, 4, 4]"
19862,..\MarioNet64_Color\frame_12854.jpg,"[(376, 83, 261, 298), (264, 236, 74, 53), (138, 173, 208, 127), (84, 80, 56, 93), (182, 4, 115, 54)]"
19863,..\MarioNet64_Color\frame_12854.jpg,"[0, 4, 4, 4, 4]"
19864,..\MarioNet64_Color\frame_12855.jpg,"[(376, 81, 263, 300), (263, 237, 75, 52), (139, 173, 208, 128), (83, 80, 58, 93), (182, 4, 115, 54)]"
19865,..\MarioNet64_Color\frame_12855.jpg,"[0, 4, 4, 4, 4]"
19866,..\MarioNet64_Color\frame_12856.jpg,"[(376, 81, 263, 300), (263, 237, 75, 52), (140, 173, 207, 128), (83, 80, 58, 93), (182, 4, 115, 54)]"
19867,..\MarioNet64_Color\frame_12856.jpg,"[0, 4, 4, 4, 4]"
19868,..\MarioNet64_Color\frame_12857.jpg,"[(376, 80, 264, 301), (263, 237, 75, 53), (142, 173, 202, 128), (80, 86, 60, 84), (179, 4, 118, 53)]"
19869,..\MarioNet64_Color\frame_12857.jpg,"[0, 4, 4, 4, 4]"
19870,..\MarioNet64_Color\frame_12858.jpg,"[(376, 80, 264, 301), (263, 237, 75, 53), (142, 173, 202, 128), (80, 86, 60, 85), (179, 4, 118, 53)]"
19871,..\MarioNet64_Color\frame_12858.jpg,"[0, 4, 4, 4, 4]"
19872,..\MarioNet64_Color\frame_12859.jpg,"[(376, 79, 265, 302), (270, 223, 68, 67), (141, 173, 208, 128), (79, 82, 63, 94), (183, 4, 113, 54)]"
19873,..\MarioNet64_Color\frame_12859.jpg,"[0, 4, 4, 4, 4]"
19874,..\MarioNet64_Color\frame_12860.jpg,"[(376, 79, 265, 302), (270, 223, 68, 67), (141, 173, 208, 128), (79, 83, 63, 93), (183, 4, 113, 54)]"
19875,..\MarioNet64_Color\frame_12860.jpg,"[0, 4, 4, 4, 4]"
19876,..\MarioNet64_Color\frame_12861.jpg,"[(377, 78, 265, 303), (268, 224, 77, 67), (138, 173, 207, 130), (78, 83, 62, 94), (181, 4, 116, 54)]"
19877,..\MarioNet64_Color\frame_12861.jpg,"[0, 4, 4, 4, 4]"
19878,..\MarioNet64_Color\frame_12862.jpg,"[(377, 78, 265, 303), (268, 224, 77, 67), (138, 173, 207, 130), (78, 83, 62, 94), (181, 4, 116, 54)]"
19879,..\MarioNet64_Color\frame_12862.jpg,"[0, 4, 4, 4, 4]"
19880,..\MarioNet64_Color\frame_12863.jpg,"[(378, 78, 265, 303), (267, 222, 72, 69), (142, 173, 203, 130), (76, 84, 64, 93), (183, 4, 114, 54)]"
19881,..\MarioNet64_Color\frame_12863.jpg,"[0, 4, 4, 4, 4]"
19882,..\MarioNet64_Color\frame_12864.jpg,"[(378, 78, 265, 303), (267, 222, 72, 69), (142, 173, 203, 130), (76, 84, 64, 93), (183, 4, 114, 54)]"
19883,..\MarioNet64_Color\frame_12864.jpg,"[0, 4, 4, 4, 4]"
19884,..\MarioNet64_Color\frame_12865.jpg,"[(379, 78, 264, 303), (271, 240, 73, 52), (140, 173, 206, 131), (75, 86, 65, 92), (182, 4, 115, 54)]"
19885,..\MarioNet64_Color\frame_12865.jpg,"[0, 4, 4, 4, 4]"
19886,..\MarioNet64_Color\frame_12866.jpg,"[(379, 78, 264, 303), (271, 240, 73, 52), (140, 173, 206, 131), (75, 86, 65, 94), (182, 4, 115, 54)]"
19887,..\MarioNet64_Color\frame_12866.jpg,"[0, 4, 4, 4, 4]"
19888,..\MarioNet64_Color\frame_12867.jpg,"[(380, 79, 264, 302), (271, 237, 74, 56), (139, 173, 207, 132), (75, 88, 67, 93), (183, 4, 114, 54)]"
19889,..\MarioNet64_Color\frame_12867.jpg,"[0, 4, 4, 4, 4]"
19890,..\MarioNet64_Color\frame_12868.jpg,"[(380, 79, 264, 302), (271, 237, 74, 56), (139, 173, 207, 132), (75, 88, 67, 93), (183, 4, 114, 54)]"
19891,..\MarioNet64_Color\frame_12868.jpg,"[0, 4, 4, 4, 4]"
19892,..\MarioNet64_Color\frame_12869.jpg,"[(382, 79, 263, 302), (266, 237, 78, 55), (142, 173, 204, 132), (76, 90, 65, 91), (179, 4, 117, 54)]"
19893,..\MarioNet64_Color\frame_12869.jpg,"[0, 4, 4, 4, 4]"
19894,..\MarioNet64_Color\frame_12870.jpg,"[(382, 79, 263, 302), (266, 237, 78, 55), (142, 173, 203, 132), (76, 90, 65, 91), (183, 4, 113, 54)]"
19895,..\MarioNet64_Color\frame_12870.jpg,"[0, 4, 4, 4, 4]"
19896,..\MarioNet64_Color\frame_12871.jpg,"[(383, 81, 263, 300), (263, 238, 81, 55), (138, 173, 207, 133), (75, 92, 65, 92), (183, 4, 113, 54)]"
19897,..\MarioNet64_Color\frame_12871.jpg,"[0, 4, 4, 4, 4]"
19898,..\MarioNet64_Color\frame_12872.jpg,"[(383, 81, 263, 300), (263, 238, 83, 55), (140, 173, 205, 133), (75, 92, 65, 92), (183, 4, 113, 54)]"
19899,..\MarioNet64_Color\frame_12872.jpg,"[0, 4, 4, 4, 4]"
19900,..\MarioNet64_Color\frame_12873.jpg,"[(383, 81, 263, 300), (263, 238, 81, 55), (138, 173, 207, 133), (75, 92, 65, 92), (183, 4, 113, 54)]"
19901,..\MarioNet64_Color\frame_12873.jpg,"[0, 4, 4, 4, 4]"
19902,..\MarioNet64_Color\frame_12874.jpg,"[(384, 81, 262, 300), (264, 238, 82, 55), (142, 173, 204, 132), (76, 94, 64, 92), (183, 4, 113, 54)]"
19903,..\MarioNet64_Color\frame_12874.jpg,"[0, 4, 4, 4, 4]"
19904,..\MarioNet64_Color\frame_12875.jpg,"[(384, 81, 262, 300), (264, 237, 82, 56), (142, 173, 204, 132), (76, 94, 64, 92), (183, 4, 113, 54)]"
19905,..\MarioNet64_Color\frame_12875.jpg,"[0, 4, 4, 4, 4]"
19906,..\MarioNet64_Color\frame_12876.jpg,"[(384, 81, 262, 300), (264, 238, 82, 55), (142, 173, 204, 132), (76, 94, 64, 92), (183, 4, 113, 54)]"
19907,..\MarioNet64_Color\frame_12876.jpg,"[0, 4, 4, 4, 4]"
19908,..\MarioNet64_Color\frame_12877.jpg,"[(385, 82, 262, 299), (270, 239, 75, 54), (138, 173, 211, 133), (77, 98, 75, 90), (182, 4, 116, 54)]"
19909,..\MarioNet64_Color\frame_12877.jpg,"[0, 4, 4, 4, 4]"
19910,..\MarioNet64_Color\frame_12878.jpg,"[(385, 82, 262, 299), (270, 239, 75, 54), (138, 173, 211, 133), (77, 98, 75, 90), (182, 4, 116, 54)]"
19911,..\MarioNet64_Color\frame_12878.jpg,"[0, 4, 4, 4, 4]"
19912,..\MarioNet64_Color\frame_12879.jpg,"[(385, 82, 262, 299), (270, 239, 75, 54), (138, 173, 211, 133), (77, 98, 63, 90), (182, 4, 116, 54)]"
19913,..\MarioNet64_Color\frame_12879.jpg,"[0, 4, 4, 4, 4]"
19914,..\MarioNet64_Color\frame_12880.jpg,"[(385, 83, 262, 298), (271, 240, 75, 55), (140, 173, 207, 133), (79, 101, 81, 87), (181, 4, 118, 54)]"
19915,..\MarioNet64_Color\frame_12880.jpg,"[0, 4, 4, 4, 4]"
19916,..\MarioNet64_Color\frame_12881.jpg,"[(385, 85, 262, 296), (263, 239, 82, 56), (135, 236, 94, 70), (159, 173, 190, 79), (86, 107, 75, 89), (184, 4, 115, 54)]"
19917,..\MarioNet64_Color\frame_12881.jpg,"[0, 4, 4, 4, 4, 4]"
19918,..\MarioNet64_Color\frame_12882.jpg,"[(385, 85, 262, 296), (263, 245, 82, 50), (135, 236, 94, 70), (159, 173, 190, 79), (86, 107, 75, 89), (184, 4, 115, 54)]"
19919,..\MarioNet64_Color\frame_12882.jpg,"[0, 4, 4, 4, 4, 4]"
19920,..\MarioNet64_Color\frame_12883.jpg,"[(385, 85, 262, 296), (263, 238, 82, 57), (135, 236, 94, 70), (159, 173, 190, 79), (86, 107, 75, 89), (183, 4, 116, 54)]"
19921,..\MarioNet64_Color\frame_12883.jpg,"[0, 4, 4, 4, 4, 4]"
19922,..\MarioNet64_Color\frame_12884.jpg,"[(385, 85, 263, 296), (264, 239, 81, 57), (135, 236, 94, 71), (159, 173, 187, 79), (84, 111, 85, 89), (182, 4, 119, 54)]"
19923,..\MarioNet64_Color\frame_12884.jpg,"[0, 4, 4, 4, 4, 4]"
19924,..\MarioNet64_Color\frame_12885.jpg,"[(385, 85, 263, 296), (264, 247, 81, 49), (135, 236, 94, 71), (159, 173, 187, 79), (84, 111, 85, 89), (182, 4, 119, 54)]"
19925,..\MarioNet64_Color\frame_12885.jpg,"[0, 4, 4, 4, 4, 4]"
19926,..\MarioNet64_Color\frame_12886.jpg,"[(385, 85, 263, 296), (264, 239, 81, 57), (135, 236, 94, 71), (159, 173, 187, 79), (84, 111, 85, 89), (182, 4, 119, 54)]"
19927,..\MarioNet64_Color\frame_12886.jpg,"[0, 4, 4, 4, 4, 4]"
19928,..\MarioNet64_Color\frame_12887.jpg,"[(385, 85, 263, 296), (264, 239, 81, 57), (135, 236, 94, 71), (159, 173, 187, 79), (84, 111, 85, 89), (182, 4, 119, 54)]"
19929,..\MarioNet64_Color\frame_12887.jpg,"[0, 4, 4, 4, 4, 4]"
19930,..\MarioNet64_Color\frame_12888.jpg,"[(386, 85, 263, 296), (267, 246, 79, 50), (136, 236, 93, 71), (165, 173, 183, 80), (88, 117, 83, 90), (184, 6, 115, 52)]"
19931,..\MarioNet64_Color\frame_12888.jpg,"[0, 4, 4, 4, 4, 4]"
19932,..\MarioNet64_Color\frame_12889.jpg,"[(386, 85, 263, 296), (267, 245, 79, 51), (135, 236, 94, 71), (165, 173, 183, 80), (88, 117, 83, 90), (184, 6, 115, 52)]"
19933,..\MarioNet64_Color\frame_12889.jpg,"[0, 4, 4, 4, 4, 4]"
19934,..\MarioNet64_Color\frame_12890.jpg,"[(386, 85, 263, 296), (267, 245, 79, 51), (135, 236, 94, 71), (165, 173, 183, 80), (88, 117, 83, 90), (184, 6, 115, 52)]"
19935,..\MarioNet64_Color\frame_12890.jpg,"[0, 4, 4, 4, 4, 4]"
19936,..\MarioNet64_Color\frame_12891.jpg,"[(386, 84, 263, 297), (267, 247, 79, 49), (136, 238, 91, 69), (162, 173, 184, 80), (88, 117, 83, 85), (184, 4, 116, 54)]"
19937,..\MarioNet64_Color\frame_12891.jpg,"[0, 4, 4, 4, 4, 4]"
19938,..\MarioNet64_Color\frame_12892.jpg,"[(385, 82, 265, 299), (270, 245, 76, 52), (135, 173, 211, 135), (87, 116, 84, 90), (182, 6, 117, 52)]"
19939,..\MarioNet64_Color\frame_12892.jpg,"[0, 4, 4, 4, 4]"
19940,..\MarioNet64_Color\frame_12893.jpg,"[(385, 82, 265, 299), (270, 245, 76, 52), (135, 173, 211, 135), (87, 116, 84, 90), (182, 6, 117, 52)]"
19941,..\MarioNet64_Color\frame_12893.jpg,"[0, 4, 4, 4, 4]"
19942,..\MarioNet64_Color\frame_12894.jpg,"[(384, 80, 265, 301), (270, 246, 76, 51), (134, 238, 94, 70), (166, 173, 181, 80), (87, 113, 83, 90), (183, 6, 115, 52)]"
19943,..\MarioNet64_Color\frame_12894.jpg,"[0, 4, 4, 4, 4, 4]"
19944,..\MarioNet64_Color\frame_12895.jpg,"[(384, 80, 265, 301), (270, 246, 76, 51), (134, 238, 94, 70), (166, 173, 181, 80), (87, 113, 82, 90), (183, 6, 115, 52)]"
19945,..\MarioNet64_Color\frame_12895.jpg,"[0, 4, 4, 4, 4, 4]"
19946,..\MarioNet64_Color\frame_12896.jpg,"[(384, 80, 265, 301), (270, 246, 76, 51), (134, 238, 94, 70), (166, 173, 181, 80), (87, 113, 82, 90), (183, 6, 115, 52)]"
19947,..\MarioNet64_Color\frame_12896.jpg,"[0, 4, 4, 4, 4, 4]"
19948,..\MarioNet64_Color\frame_12897.jpg,"[(385, 79, 266, 302), (268, 245, 78, 52), (135, 173, 217, 135), (87, 110, 81, 91), (182, 5, 115, 53)]"
19949,..\MarioNet64_Color\frame_12897.jpg,"[0, 4, 4, 4, 4]"
19950,..\MarioNet64_Color\frame_12898.jpg,"[(385, 79, 266, 302), (268, 245, 78, 52), (135, 173, 217, 135), (87, 110, 81, 91), (182, 5, 115, 53)]"
19951,..\MarioNet64_Color\frame_12898.jpg,"[0, 4, 4, 4, 4]"
19952,..\MarioNet64_Color\frame_12899.jpg,"[(385, 79, 266, 302), (268, 245, 78, 52), (135, 173, 217, 135), (87, 110, 81, 91), (182, 5, 115, 53)]"
19953,..\MarioNet64_Color\frame_12899.jpg,"[0, 4, 4, 4, 4]"
19954,..\MarioNet64_Color\frame_12900.jpg,"[(384, 76, 267, 305), (135, 238, 92, 70), (270, 224, 75, 73), (159, 173, 189, 80), (86, 107, 82, 91), (182, 5, 118, 53)]"
19955,..\MarioNet64_Color\frame_12900.jpg,"[0, 4, 4, 4, 4, 4]"
19956,..\MarioNet64_Color\frame_12901.jpg,"[(384, 76, 267, 305), (135, 238, 92, 70), (270, 224, 75, 73), (159, 173, 189, 80), (86, 107, 82, 91), (182, 5, 118, 53)]"
19957,..\MarioNet64_Color\frame_12901.jpg,"[0, 4, 4, 4, 4, 4]"
19958,..\MarioNet64_Color\frame_12902.jpg,"[(384, 73, 269, 308), (267, 246, 79, 51), (135, 237, 94, 71), (156, 173, 196, 81), (86, 103, 82, 92), (184, 5, 117, 52)]"
19959,..\MarioNet64_Color\frame_12902.jpg,"[0, 4, 4, 4, 4, 4]"
19960,..\MarioNet64_Color\frame_12903.jpg,"[(383, 72, 271, 309), (267, 246, 79, 52), (136, 173, 216, 135), (85, 100, 83, 92), (182, 6, 118, 52)]"
19961,..\MarioNet64_Color\frame_12903.jpg,"[0, 4, 4, 4, 4]"
19962,..\MarioNet64_Color\frame_12904.jpg,"[(382, 70, 273, 311), (268, 244, 79, 54), (135, 239, 94, 70), (157, 173, 195, 82), (84, 97, 79, 92), (184, 6, 114, 51)]"
19963,..\MarioNet64_Color\frame_12904.jpg,"[0, 4, 4, 4, 4, 4]"
19964,..\MarioNet64_Color\frame_12905.jpg,"[(382, 70, 273, 311), (135, 239, 94, 70), (268, 229, 79, 69), (157, 173, 195, 82), (84, 97, 77, 92), (184, 6, 114, 51)]"
19965,..\MarioNet64_Color\frame_12905.jpg,"[0, 4, 4, 4, 4, 4]"
19966,..\MarioNet64_Color\frame_12906.jpg,"[(379, 68, 276, 313), (269, 244, 77, 54), (135, 238, 91, 71), (157, 173, 195, 80), (83, 93, 77, 94), (182, 6, 118, 51)]"
19967,..\MarioNet64_Color\frame_12906.jpg,"[0, 4, 4, 4, 4, 4]"
19968,..\MarioNet64_Color\frame_12907.jpg,"[(379, 68, 276, 313), (269, 244, 77, 54), (135, 238, 91, 71), (157, 173, 195, 80), (83, 93, 77, 94), (182, 6, 118, 51)]"
19969,..\MarioNet64_Color\frame_12907.jpg,"[0, 4, 4, 4, 4, 4]"
19970,..\MarioNet64_Color\frame_12908.jpg,"[(379, 68, 276, 313), (135, 238, 91, 71), (269, 224, 77, 74), (157, 173, 195, 80), (83, 93, 78, 94), (182, 6, 118, 51)]"
19971,..\MarioNet64_Color\frame_12908.jpg,"[0, 4, 4, 4, 4, 4]"
19972,..\MarioNet64_Color\frame_12909.jpg,"[(377, 66, 279, 315), (269, 246, 76, 52), (135, 240, 91, 69), (157, 173, 189, 80), (83, 91, 59, 94), (184, 5, 115, 52)]"
19973,..\MarioNet64_Color\frame_12909.jpg,"[0, 4, 4, 4, 4, 4]"
19974,..\MarioNet64_Color\frame_12910.jpg,"[(377, 66, 279, 315), (269, 245, 76, 53), (135, 240, 91, 69), (157, 173, 189, 81), (83, 91, 59, 94), (184, 5, 115, 52)]"
19975,..\MarioNet64_Color\frame_12910.jpg,"[0, 4, 4, 4, 4, 4]"
19976,..\MarioNet64_Color\frame_12911.jpg,"[(377, 66, 279, 315), (269, 245, 76, 53), (135, 240, 91, 69), (157, 173, 189, 81), (83, 91, 59, 94), (184, 5, 115, 52)]"
19977,..\MarioNet64_Color\frame_12911.jpg,"[0, 4, 4, 4, 4, 4]"
19978,..\MarioNet64_Color\frame_12912.jpg,"[(376, 65, 279, 316), (269, 246, 77, 52), (134, 173, 212, 136), (85, 89, 56, 94), (184, 6, 115, 52)]"
19979,..\MarioNet64_Color\frame_12912.jpg,"[0, 4, 4, 4, 4]"
19980,..\MarioNet64_Color\frame_12913.jpg,"[(376, 65, 279, 316), (269, 241, 77, 57), (134, 173, 212, 136), (85, 89, 56, 94), (184, 6, 115, 52)]"
19981,..\MarioNet64_Color\frame_12913.jpg,"[0, 4, 4, 4, 4]"
19982,..\MarioNet64_Color\frame_12914.jpg,"[(374, 63, 283, 318), (270, 244, 76, 55), (135, 173, 211, 136), (85, 87, 55, 94), (186, 7, 112, 50)]"
19983,..\MarioNet64_Color\frame_12914.jpg,"[0, 4, 4, 4, 4]"
19984,..\MarioNet64_Color\frame_12915.jpg,"[(373, 62, 284, 319), (268, 232, 77, 67), (135, 173, 213, 136), (84, 85, 56, 96), (186, 6, 111, 51)]"
19985,..\MarioNet64_Color\frame_12915.jpg,"[0, 4, 4, 4, 4]"
19986,..\MarioNet64_Color\frame_12916.jpg,"[(373, 62, 284, 319), (136, 240, 94, 69), (270, 229, 77, 70), (158, 173, 194, 78), (84, 84, 58, 96), (187, 7, 112, 50)]"
19987,..\MarioNet64_Color\frame_12916.jpg,"[0, 4, 4, 4, 4, 4]"
19988,..\MarioNet64_Color\frame_12917.jpg,"[(373, 62, 284, 319), (136, 240, 94, 69), (266, 229, 79, 70), (158, 173, 194, 78), (84, 84, 58, 96), (187, 7, 112, 50)]"
19989,..\MarioNet64_Color\frame_12917.jpg,"[0, 4, 4, 4, 4, 4]"
19990,..\MarioNet64_Color\frame_12918.jpg,"[(372, 61, 286, 320), (270, 232, 75, 67), (136, 173, 216, 136), (84, 83, 58, 97), (186, 7, 112, 51)]"
19991,..\MarioNet64_Color\frame_12918.jpg,"[0, 4, 4, 4, 4]"
19992,..\MarioNet64_Color\frame_12919.jpg,"[(372, 61, 286, 320), (270, 232, 75, 67), (136, 173, 216, 136), (84, 83, 58, 97), (186, 7, 112, 51)]"
19993,..\MarioNet64_Color\frame_12919.jpg,"[0, 4, 4, 4, 4]"
19994,..\MarioNet64_Color\frame_12920.jpg,"[(372, 61, 286, 320), (270, 232, 75, 67), (136, 173, 216, 136), (84, 83, 58, 97), (186, 7, 112, 51)]"
19995,..\MarioNet64_Color\frame_12920.jpg,"[0, 4, 4, 4, 4]"
19996,..\MarioNet64_Color\frame_12921.jpg,"[(372, 61, 286, 320), (271, 246, 75, 53), (135, 173, 217, 138), (84, 83, 58, 97), (186, 7, 112, 51)]"
19997,..\MarioNet64_Color\frame_12921.jpg,"[0, 4, 4, 4, 4]"
