MarioNet64_Color\frame_5110.jpg  1  503 205 19 36
MarioNet64_Color\frame_5111.jpg  1  501 206 21 28
MarioNet64_Color\frame_6504.jpg  1  542 181 18 28
MarioNet64_Color\frame_6505.jpg  1  542 181 18 28
MarioNet64_Color\frame_6506.jpg  1  552 181 26 30
MarioNet64_Color\frame_6507.jpg  1  551 181 28 27
MarioNet64_Color\frame_6508.jpg  1  567 181 19 29
MarioNet64_Color\frame_6509.jpg  1  567 181 20 29
MarioNet64_Color\frame_6510.jpg  1  583 183 27 25
MarioNet64_Color\frame_6511.jpg  1  583 183 27 25
MarioNet64_Color\frame_6512.jpg  2  608 214 18 6  606 190 20 20
MarioNet64_Color\frame_6513.jpg  1  606 189 20 21
MarioNet64_Color\frame_6514.jpg  1  621 190 21 30
MarioNet64_Color\frame_6515.jpg  1  621 190 21 30
MarioNet64_Color\frame_6516.jpg  1  639 188 18 22
MarioNet64_Color\frame_6517.jpg  1  639 188 19 22
MarioNet64_Color\frame_6518.jpg  1  651 186 23 30
MarioNet64_Color\frame_6519.jpg  1  651 186 24 32
MarioNet64_Color\frame_6520.jpg  1  671 187 25 38
MarioNet64_Color\frame_6521.jpg  1  671 187 20 38
MarioNet64_Color\frame_6522.jpg  1  686 188 23 38
MarioNet64_Color\frame_6523.jpg  1  686 188 19 38
MarioNet64_Color\frame_6524.jpg  1  711 198 9 20
MarioNet64_Color\frame_6525.jpg  1  711 189 9 29
MarioNet64_Color\frame_6580.jpg  1  5 158 6 21
MarioNet64_Color\frame_6590.jpg  1  1 94 8 23
MarioNet64_Color\frame_6591.jpg  1  1 94 8 23
MarioNet64_Color\frame_6594.jpg  1  30 192 22 5
MarioNet64_Color\frame_6595.jpg  2  30 192 22 5  8 184 10 11
MarioNet64_Color\frame_6613.jpg  1  92 189 28 7
MarioNet64_Color\frame_6636.jpg  1  301 170 10 10
MarioNet64_Color\frame_6644.jpg  2  282 200 12 12  360 157 11 10
MarioNet64_Color\frame_6645.jpg  1  360 157 11 10
MarioNet64_Color\frame_6646.jpg  1  360 157 11 10
MarioNet64_Color\frame_6647.jpg  1  360 157 11 10
MarioNet64_Color\frame_6648.jpg  1  360 157 11 10
MarioNet64_Color\frame_6650.jpg  1  354 156 17 11
MarioNet64_Color\frame_6651.jpg  1  354 156 17 11
MarioNet64_Color\frame_6653.jpg  1  354 156 17 11
MarioNet64_Color\frame_6654.jpg  1  281 8 11 10
MarioNet64_Color\frame_6655.jpg  1  137 160 15 10
MarioNet64_Color\frame_6670.jpg  1  307 34 5 22
MarioNet64_Color\frame_6671.jpg  1  307 34 5 22
MarioNet64_Color\frame_6682.jpg  1  351 136 10 11
MarioNet64_Color\frame_6683.jpg  1  351 136 10 11
MarioNet64_Color\frame_6691.jpg  1  383 183 11 10
MarioNet64_Color\frame_6692.jpg  1  383 183 11 10
MarioNet64_Color\frame_6693.jpg  1  383 183 11 10
MarioNet64_Color\frame_6694.jpg  1  383 183 11 10
MarioNet64_Color\frame_6695.jpg  1  383 183 11 10
MarioNet64_Color\frame_6696.jpg  1  383 183 11 10
MarioNet64_Color\frame_6697.jpg  1  383 183 11 10
MarioNet64_Color\frame_6698.jpg  1  383 183 10 10
MarioNet64_Color\frame_6699.jpg  1  383 183 10 10
MarioNet64_Color\frame_6700.jpg  1  383 183 10 10
MarioNet64_Color\frame_6701.jpg  1  383 183 10 10
MarioNet64_Color\frame_6702.jpg  2  519 260 12 15  383 183 10 10
MarioNet64_Color\frame_6703.jpg  2  519 260 12 15  383 183 10 10
MarioNet64_Color\frame_6704.jpg  3  511 310 10 14  519 260 12 15  383 183 10 10
MarioNet64_Color\frame_6705.jpg  2  236 238 14 12  383 183 10 10
MarioNet64_Color\frame_6706.jpg  3  511 310 10 14  519 260 12 15  383 183 10 10
MarioNet64_Color\frame_6707.jpg  3  511 310 10 14  519 260 12 15  383 183 10 10
MarioNet64_Color\frame_6708.jpg  4  511 310 10 14  519 260 12 15  383 183 10 10  6 176 7 26
MarioNet64_Color\frame_6709.jpg  4  511 310 10 14  519 260 12 15  383 183 10 10  6 176 7 26
MarioNet64_Color\frame_6710.jpg  6  293 315 13 8  511 310 10 14  519 260 12 15  383 183 10 10  6 176 7 26  595 67 13 8
MarioNet64_Color\frame_6711.jpg  6  293 315 13 8  511 310 10 14  519 260 12 15  383 183 10 10  6 176 7 26  694 134 11 12
MarioNet64_Color\frame_6712.jpg  4  293 315 13 8  511 310 10 14  519 260 12 15  694 134 11 12
MarioNet64_Color\frame_6713.jpg  4  293 315 13 8  511 310 10 14  519 260 12 15  383 183 10 10
MarioNet64_Color\frame_6714.jpg  5  293 315 13 8  530 187 10 15  383 183 10 10  558 176 16 8  518 134 10 10
MarioNet64_Color\frame_6715.jpg  5  293 315 13 8  530 187 10 15  383 183 10 10  558 176 16 8  518 134 10 10
MarioNet64_Color\frame_6716.jpg  4  293 315 13 8  511 310 10 14  519 260 12 15  383 183 10 10
MarioNet64_Color\frame_6717.jpg  4  293 315 13 8  530 187 10 15  558 176 16 8  518 134 10 10
MarioNet64_Color\frame_6718.jpg  4  293 315 13 8  511 310 10 14  519 260 12 15  383 183 10 10
MarioNet64_Color\frame_6719.jpg  4  293 315 13 8  511 310 10 14  519 260 12 15  383 183 10 10
MarioNet64_Color\frame_6720.jpg  4  511 310 10 14  519 260 12 15  368 195 11 10  383 183 10 10
MarioNet64_Color\frame_6721.jpg  2  511 310 10 14  519 260 12 15
MarioNet64_Color\frame_6722.jpg  2  511 310 10 14  519 260 12 15
MarioNet64_Color\frame_6723.jpg  3  259 355 10 11  511 310 10 14  519 260 12 15
MarioNet64_Color\frame_6725.jpg  2  511 310 10 14  519 260 12 15
MarioNet64_Color\frame_6726.jpg  2  511 310 10 14  519 260 12 15
MarioNet64_Color\frame_6727.jpg  2  511 310 10 14  519 260 12 15
MarioNet64_Color\frame_6728.jpg  2  511 310 10 14  519 260 12 15
MarioNet64_Color\frame_6729.jpg  3  697 268 9 13  687 249 15 12  573 70 11 13
MarioNet64_Color\frame_6730.jpg  3  697 268 9 13  687 249 15 12  531 110 9 12
MarioNet64_Color\frame_6731.jpg  3  697 268 9 13  687 249 15 12  586 159 14 9
MarioNet64_Color\frame_6732.jpg  1  531 110 9 12
MarioNet64_Color\frame_6733.jpg  1  531 110 9 12
MarioNet64_Color\frame_6741.jpg  2  583 120 10 10  562 78 8 17
MarioNet64_Color\frame_6742.jpg  1  583 120 10 10
MarioNet64_Color\frame_6743.jpg  1  583 120 10 10
MarioNet64_Color\frame_6746.jpg  2  647 270 11 13  672 102 12 9
MarioNet64_Color\frame_6747.jpg  2  647 270 11 13  672 102 12 9
MarioNet64_Color\frame_6810.jpg  1  15 327 12 12
MarioNet64_Color\frame_6811.jpg  1  15 325 12 13
MarioNet64_Color\frame_6812.jpg  1  23 326 11 13
MarioNet64_Color\frame_6813.jpg  1  23 326 11 13
MarioNet64_Color\frame_6814.jpg  1  29 325 14 17
MarioNet64_Color\frame_6815.jpg  1  29 325 14 17
MarioNet64_Color\frame_6817.jpg  1  37 328 11 11
MarioNet64_Color\frame_6820.jpg  1  45 325 14 14
MarioNet64_Color\frame_6821.jpg  1  45 325 14 14
MarioNet64_Color\frame_6822.jpg  1  47 327 11 12
MarioNet64_Color\frame_6823.jpg  1  47 327 11 19
MarioNet64_Color\frame_6826.jpg  1  54 330 12 15
MarioNet64_Color\frame_6827.jpg  1  54 330 12 15
MarioNet64_Color\frame_6828.jpg  1  53 332 12 14
MarioNet64_Color\frame_6829.jpg  1  53 332 15 14
MarioNet64_Color\frame_6830.jpg  1  63 336 10 10
MarioNet64_Color\frame_6831.jpg  1  63 336 10 10
MarioNet64_Color\frame_6832.jpg  1  63 334 13 12
MarioNet64_Color\frame_6833.jpg  1  63 334 13 12
MarioNet64_Color\frame_6834.jpg  1  63 334 11 12
MarioNet64_Color\frame_6835.jpg  1  63 334 11 12
MarioNet64_Color\frame_6836.jpg  1  71 334 11 19
MarioNet64_Color\frame_6837.jpg  1  71 334 11 19
MarioNet64_Color\frame_6838.jpg  1  71 338 11 16
MarioNet64_Color\frame_6839.jpg  1  70 338 12 16
MarioNet64_Color\frame_6840.jpg  1  71 341 19 13
MarioNet64_Color\frame_6841.jpg  1  71 341 19 13
MarioNet64_Color\frame_6842.jpg  1  76 343 15 11
MarioNet64_Color\frame_6843.jpg  1  76 343 15 11
MarioNet64_Color\frame_6846.jpg  1  87 340 13 21
MarioNet64_Color\frame_6847.jpg  1  87 340 13 21
MarioNet64_Color\frame_6848.jpg  1  87 350 10 12
MarioNet64_Color\frame_6849.jpg  1  87 350 10 12
MarioNet64_Color\frame_6850.jpg  1  94 350 10 13
MarioNet64_Color\frame_6851.jpg  1  94 350 10 11
MarioNet64_Color\frame_6852.jpg  1  95 350 17 11
MarioNet64_Color\frame_6853.jpg  1  95 350 17 11
MarioNet64_Color\frame_6854.jpg  1  102 349 11 14
MarioNet64_Color\frame_6855.jpg  1  102 349 11 14
MarioNet64_Color\frame_6856.jpg  1  102 349 11 13
MarioNet64_Color\frame_6857.jpg  1  102 349 11 13
MarioNet64_Color\frame_6858.jpg  1  111 349 12 20
MarioNet64_Color\frame_6859.jpg  1  111 349 12 20
MarioNet64_Color\frame_6860.jpg  1  110 352 11 17
MarioNet64_Color\frame_6861.jpg  1  110 352 11 17
MarioNet64_Color\frame_6862.jpg  1  119 358 12 13
MarioNet64_Color\frame_6863.jpg  1  119 358 12 13
MarioNet64_Color\frame_6864.jpg  1  118 355 13 15
MarioNet64_Color\frame_6865.jpg  1  118 355 13 15
MarioNet64_Color\frame_6866.jpg  1  127 359 11 19
MarioNet64_Color\frame_6867.jpg  1  127 359 11 19
MarioNet64_Color\frame_6868.jpg  1  127 358 12 22
MarioNet64_Color\frame_6869.jpg  1  127 358 12 22
MarioNet64_Color\frame_6870.jpg  1  127 366 21 14
MarioNet64_Color\frame_6871.jpg  1  127 366 21 14
MarioNet64_Color\frame_6872.jpg  1  134 367 13 13
MarioNet64_Color\frame_6873.jpg  1  134 367 13 13
MarioNet64_Color\frame_6874.jpg  1  135 366 19 14
MarioNet64_Color\frame_6875.jpg  1  135 366 19 14
MarioNet64_Color\frame_6876.jpg  1  135 372 19 8
MarioNet64_Color\frame_6877.jpg  1  135 372 19 8
MarioNet64_Color\frame_6898.jpg  1  647 278 11 10
MarioNet64_Color\frame_6899.jpg  1  647 278 11 10
MarioNet64_Color\frame_6902.jpg  1  653 279 13 10
MarioNet64_Color\frame_6903.jpg  1  653 279 13 10
MarioNet64_Color\frame_6930.jpg  1  238 118 12 11
MarioNet64_Color\frame_6931.jpg  1  238 118 10 11
MarioNet64_Color\frame_6938.jpg  1  247 118 11 11
MarioNet64_Color\frame_6940.jpg  2  663 301 10 15  248 118 9 13
MarioNet64_Color\frame_6941.jpg  1  248 118 9 13
MarioNet64_Color\frame_6944.jpg  1  238 119 11 13
MarioNet64_Color\frame_6945.jpg  1  238 119 11 13
MarioNet64_Color\frame_6946.jpg  1  232 118 9 13
MarioNet64_Color\frame_6947.jpg  1  232 118 12 15
MarioNet64_Color\frame_6948.jpg  1  655 310 11 14
MarioNet64_Color\frame_6949.jpg  1  655 310 11 14
MarioNet64_Color\frame_6950.jpg  1  655 311 12 12
MarioNet64_Color\frame_6951.jpg  1  655 311 12 12
MarioNet64_Color\frame_6952.jpg  1  656 311 10 13
MarioNet64_Color\frame_6953.jpg  1  656 311 11 11
MarioNet64_Color\frame_6956.jpg  1  212 124 14 13
MarioNet64_Color\frame_6957.jpg  1  212 126 14 11
MarioNet64_Color\frame_6958.jpg  1  214 126 14 11
MarioNet64_Color\frame_6959.jpg  1  214 125 12 12
MarioNet64_Color\frame_6960.jpg  1  686 326 12 11
MarioNet64_Color\frame_6961.jpg  1  686 326 12 11
MarioNet64_Color\frame_6962.jpg  2  693 326 12 15  220 127 13 14
MarioNet64_Color\frame_6963.jpg  2  693 326 12 15  220 127 13 14
MarioNet64_Color\frame_6964.jpg  2  703 335 11 11  223 127 12 11
MarioNet64_Color\frame_6965.jpg  2  703 332 11 14  223 127 12 11
MarioNet64_Color\frame_6966.jpg  2  710 334 10 15  221 126 13 15
MarioNet64_Color\frame_6967.jpg  2  710 336 10 13  221 127 13 14
MarioNet64_Color\frame_6974.jpg  1  222 134 11 11
MarioNet64_Color\frame_6975.jpg  1  222 134 11 11
MarioNet64_Color\frame_6978.jpg  1  207 135 11 10
MarioNet64_Color\frame_6979.jpg  1  207 135 11 10
MarioNet64_Color\frame_6980.jpg  1  199 130 15 16
MarioNet64_Color\frame_6981.jpg  1  199 130 15 16
MarioNet64_Color\frame_6984.jpg  1  187 132 13 14
MarioNet64_Color\frame_6985.jpg  1  187 132 13 14
MarioNet64_Color\frame_6986.jpg  1  180 133 13 14
MarioNet64_Color\frame_6987.jpg  1  180 133 13 14
MarioNet64_Color\frame_6988.jpg  1  175 133 15 13
MarioNet64_Color\frame_6989.jpg  1  175 131 11 15
MarioNet64_Color\frame_6990.jpg  2  215 134 10 10  172 131 13 14
MarioNet64_Color\frame_6991.jpg  2  215 134 10 10  172 131 13 14
MarioNet64_Color\frame_6992.jpg  1  174 132 11 18
MarioNet64_Color\frame_6993.jpg  1  175 132 10 15
MarioNet64_Color\frame_6994.jpg  1  166 134 15 19
MarioNet64_Color\frame_6995.jpg  1  166 134 15 19
MarioNet64_Color\frame_6996.jpg  1  165 143 13 10
MarioNet64_Color\frame_6997.jpg  1  165 143 13 10
MarioNet64_Color\frame_7000.jpg  1  158 148 12 13
MarioNet64_Color\frame_7001.jpg  1  154 148 17 15
MarioNet64_Color\frame_7002.jpg  1  149 150 15 23
MarioNet64_Color\frame_7003.jpg  1  151 151 13 22
MarioNet64_Color\frame_7004.jpg  1  143 158 19 14
MarioNet64_Color\frame_7005.jpg  1  143 158 19 14
MarioNet64_Color\frame_7006.jpg  1  142 157 11 22
MarioNet64_Color\frame_7007.jpg  1  142 157 11 22
MarioNet64_Color\frame_7008.jpg  1  135 157 16 24
MarioNet64_Color\frame_7009.jpg  1  135 157 16 24
MarioNet64_Color\frame_7010.jpg  1  123 160 16 21
MarioNet64_Color\frame_7011.jpg  1  123 160 16 21
MarioNet64_Color\frame_7012.jpg  1  121 164 17 24
MarioNet64_Color\frame_7013.jpg  1  121 164 17 24
MarioNet64_Color\frame_7014.jpg  1  117 167 22 19
MarioNet64_Color\frame_7015.jpg  1  117 166 22 20
MarioNet64_Color\frame_7016.jpg  1  117 167 13 20
MarioNet64_Color\frame_7017.jpg  1  117 167 13 20
MarioNet64_Color\frame_7018.jpg  1  111 166 20 19
MarioNet64_Color\frame_7019.jpg  1  111 166 20 19
MarioNet64_Color\frame_7020.jpg  1  111 164 12 21
MarioNet64_Color\frame_7021.jpg  1  111 164 12 21
MarioNet64_Color\frame_7022.jpg  1  102 166 20 23
MarioNet64_Color\frame_7023.jpg  1  102 166 20 23
MarioNet64_Color\frame_7024.jpg  1  91 167 22 27
MarioNet64_Color\frame_7025.jpg  1  91 167 23 26
MarioNet64_Color\frame_7026.jpg  1  85 175 23 21
MarioNet64_Color\frame_7027.jpg  1  85 175 23 21
MarioNet64_Color\frame_7028.jpg  1  77 173 23 28
MarioNet64_Color\frame_7029.jpg  1  77 173 23 28
MarioNet64_Color\frame_7030.jpg  1  69 180 22 29
MarioNet64_Color\frame_7031.jpg  1  68 180 21 29
MarioNet64_Color\frame_7032.jpg  1  63 185 26 35
MarioNet64_Color\frame_7033.jpg  1  63 185 26 35
MarioNet64_Color\frame_7034.jpg  2  54 218 13 10  55 189 28 29
MarioNet64_Color\frame_7035.jpg  2  54 218 13 10  55 189 28 29
MarioNet64_Color\frame_7036.jpg  1  46 197 29 28
MarioNet64_Color\frame_7037.jpg  1  46 197 29 28
MarioNet64_Color\frame_7038.jpg  2  40 206 27 30  71 182 14 9
MarioNet64_Color\frame_7039.jpg  2  40 203 27 33  71 182 14 9
MarioNet64_Color\frame_7040.jpg  2  31 212 34 33  60 184 14 13
MarioNet64_Color\frame_7041.jpg  2  31 213 34 32  60 184 14 13
MarioNet64_Color\frame_7042.jpg  2  30 223 28 34  55 191 10 12
MarioNet64_Color\frame_7043.jpg  2  30 223 28 34  54 191 11 12
MarioNet64_Color\frame_7044.jpg  1  18 228 31 38
MarioNet64_Color\frame_7045.jpg  1  18 228 31 38
MarioNet64_Color\frame_7046.jpg  2  13 237 37 39  31 198 16 11
MarioNet64_Color\frame_7047.jpg  2  13 237 37 39  31 198 16 11
MarioNet64_Color\frame_7048.jpg  3  6 249 39 50  359 222 10 11  20 200 15 20
MarioNet64_Color\frame_7049.jpg  3  6 252 39 47  359 222 10 11  21 200 14 17
MarioNet64_Color\frame_7050.jpg  3  8 308 17 9  4 260 37 46  15 205 13 20
MarioNet64_Color\frame_7051.jpg  3  8 308 19 9  5 260 36 46  10 205 18 20
MarioNet64_Color\frame_7052.jpg  3  6 270 27 59  357 231 15 11  1 214 17 12
MarioNet64_Color\frame_7053.jpg  3  6 270 27 59  357 231 15 11  1 214 17 12
MarioNet64_Color\frame_7054.jpg  2  1 277 33 60  356 231 14 13
MarioNet64_Color\frame_7055.jpg  2  5 277 29 60  356 231 14 13
MarioNet64_Color\frame_7056.jpg  1  6 287 20 59
MarioNet64_Color\frame_7057.jpg  1  6 287 20 59
MarioNet64_Color\frame_7058.jpg  1  7 287 19 66
MarioNet64_Color\frame_7059.jpg  1  7 287 20 66
MarioNet64_Color\frame_7060.jpg  1  6 295 14 50
MarioNet64_Color\frame_7061.jpg  1  6 295 13 49
MarioNet64_Color\frame_7062.jpg  2  7 311 10 33  349 230 14 11
MarioNet64_Color\frame_7063.jpg  2  7 311 10 33  349 230 14 11
MarioNet64_Color\frame_7064.jpg  2  1 319 7 21  351 229 12 12
MarioNet64_Color\frame_7065.jpg  2  1 319 7 21  351 229 12 12
MarioNet64_Color\frame_7068.jpg  1  342 227 15 17
MarioNet64_Color\frame_7069.jpg  1  342 227 15 17
MarioNet64_Color\frame_7070.jpg  1  340 228 15 15
MarioNet64_Color\frame_7071.jpg  1  340 228 15 15
MarioNet64_Color\frame_7072.jpg  1  341 232 13 10
MarioNet64_Color\frame_7073.jpg  1  341 229 11 13
MarioNet64_Color\frame_7076.jpg  1  333 222 12 15
MarioNet64_Color\frame_7077.jpg  1  333 222 12 15
MarioNet64_Color\frame_7078.jpg  1  329 223 17 14
MarioNet64_Color\frame_7079.jpg  1  329 222 17 15
MarioNet64_Color\frame_7080.jpg  1  325 219 12 16
MarioNet64_Color\frame_7081.jpg  1  325 219 12 16
MarioNet64_Color\frame_7082.jpg  1  324 216 15 16
MarioNet64_Color\frame_7083.jpg  1  324 216 15 16
MarioNet64_Color\frame_7084.jpg  1  322 214 16 14
MarioNet64_Color\frame_7085.jpg  1  327 214 11 14
MarioNet64_Color\frame_7088.jpg  1  319 207 12 11
MarioNet64_Color\frame_7089.jpg  1  319 207 12 11
MarioNet64_Color\frame_7090.jpg  1  317 200 13 18
MarioNet64_Color\frame_7091.jpg  1  317 200 13 18
MarioNet64_Color\frame_7092.jpg  1  317 199 12 18
MarioNet64_Color\frame_7093.jpg  1  317 199 12 18
MarioNet64_Color\frame_7094.jpg  1  311 199 21 13
MarioNet64_Color\frame_7095.jpg  1  312 197 20 15
MarioNet64_Color\frame_7096.jpg  1  318 196 14 16
MarioNet64_Color\frame_7097.jpg  1  318 196 14 16
MarioNet64_Color\frame_7098.jpg  1  317 199 19 12
MarioNet64_Color\frame_7099.jpg  1  317 199 20 12
MarioNet64_Color\frame_7100.jpg  1  324 198 15 13
MarioNet64_Color\frame_7101.jpg  1  324 199 15 12
MarioNet64_Color\frame_7102.jpg  1  334 191 11 20
MarioNet64_Color\frame_7103.jpg  1  334 191 12 21
MarioNet64_Color\frame_7104.jpg  1  342 191 13 19
MarioNet64_Color\frame_7105.jpg  1  342 191 13 19
MarioNet64_Color\frame_7106.jpg  1  343 196 18 17
MarioNet64_Color\frame_7107.jpg  1  343 196 20 17
MarioNet64_Color\frame_7108.jpg  1  350 194 21 22
MarioNet64_Color\frame_7109.jpg  1  350 194 21 22
MarioNet64_Color\frame_7110.jpg  1  357 198 14 19
MarioNet64_Color\frame_7111.jpg  1  357 198 14 19
MarioNet64_Color\frame_7112.jpg  1  365 197 12 24
MarioNet64_Color\frame_7113.jpg  1  366 197 11 24
MarioNet64_Color\frame_7114.jpg  1  373 198 20 21
MarioNet64_Color\frame_7115.jpg  1  373 198 20 21
MarioNet64_Color\frame_7116.jpg  1  381 206 17 21
MarioNet64_Color\frame_7117.jpg  1  381 206 17 21
MarioNet64_Color\frame_7118.jpg  1  382 214 13 11
MarioNet64_Color\frame_7119.jpg  1  382 206 13 20
MarioNet64_Color\frame_7120.jpg  2  388 213 13 14  282 166 10 12
MarioNet64_Color\frame_7121.jpg  2  388 213 13 13  282 166 10 12
MarioNet64_Color\frame_7122.jpg  1  383 205 22 27
MarioNet64_Color\frame_7123.jpg  1  383 205 22 27
MarioNet64_Color\frame_7124.jpg  2  381 208 21 17  277 166 11 11
MarioNet64_Color\frame_7125.jpg  2  381 208 21 17  277 166 12 11
MarioNet64_Color\frame_7126.jpg  1  378 207 23 26
MarioNet64_Color\frame_7127.jpg  1  378 207 23 26
MarioNet64_Color\frame_7128.jpg  1  382 214 12 23
MarioNet64_Color\frame_7129.jpg  1  382 214 12 23
MarioNet64_Color\frame_7130.jpg  1  374 215 21 20
MarioNet64_Color\frame_7131.jpg  1  374 215 21 20
MarioNet64_Color\frame_7132.jpg  1  372 223 23 18
MarioNet64_Color\frame_7133.jpg  1  372 223 23 18
MarioNet64_Color\frame_7134.jpg  1  373 221 20 29
MarioNet64_Color\frame_7135.jpg  1  373 221 20 29
MarioNet64_Color\frame_7136.jpg  1  366 231 23 26
MarioNet64_Color\frame_7137.jpg  1  366 231 23 26
MarioNet64_Color\frame_7138.jpg  1  364 236 22 30
MarioNet64_Color\frame_7139.jpg  1  364 236 22 30
MarioNet64_Color\frame_7140.jpg  1  367 245 19 21
MarioNet64_Color\frame_7141.jpg  1  367 245 19 21
MarioNet64_Color\frame_7142.jpg  1  359 244 27 24
MarioNet64_Color\frame_7143.jpg  1  359 243 27 25
MarioNet64_Color\frame_7144.jpg  1  358 246 28 27
MarioNet64_Color\frame_7145.jpg  1  358 246 28 27
MarioNet64_Color\frame_7146.jpg  1  356 243 28 31
MarioNet64_Color\frame_7147.jpg  1  356 243 28 31
MarioNet64_Color\frame_7148.jpg  1  356 243 25 30
MarioNet64_Color\frame_7149.jpg  1  356 243 25 30
MarioNet64_Color\frame_7150.jpg  1  358 245 22 32
MarioNet64_Color\frame_7151.jpg  1  358 245 20 32
MarioNet64_Color\frame_7152.jpg  1  359 246 22 29
MarioNet64_Color\frame_7153.jpg  1  358 246 23 29
MarioNet64_Color\frame_7154.jpg  2  351 242 31 39  264 192 10 12
MarioNet64_Color\frame_7155.jpg  2  351 242 31 39  264 192 10 12
MarioNet64_Color\frame_7156.jpg  1  351 237 28 38
MarioNet64_Color\frame_7157.jpg  1  351 237 29 38
MarioNet64_Color\frame_7158.jpg  1  349 239 33 35
MarioNet64_Color\frame_7159.jpg  1  349 239 33 35
MarioNet64_Color\frame_7160.jpg  1  349 227 28 44
MarioNet64_Color\frame_7161.jpg  1  349 231 28 40
MarioNet64_Color\frame_7162.jpg  1  347 221 32 45
MarioNet64_Color\frame_7163.jpg  1  347 221 32 45
MarioNet64_Color\frame_7164.jpg  1  350 221 28 37
MarioNet64_Color\frame_7165.jpg  1  350 221 28 37
MarioNet64_Color\frame_7166.jpg  2  342 215 37 42  263 174 11 11
MarioNet64_Color\frame_7167.jpg  1  342 215 37 44
MarioNet64_Color\frame_7168.jpg  1  340 213 38 46
MarioNet64_Color\frame_7169.jpg  1  340 213 38 46
MarioNet64_Color\frame_7170.jpg  1  338 212 41 47
MarioNet64_Color\frame_7171.jpg  1  338 212 41 47
MarioNet64_Color\frame_7172.jpg  2  334 214 47 52  262 165 11 13
MarioNet64_Color\frame_7173.jpg  2  334 214 45 52  262 165 13 13
MarioNet64_Color\frame_7174.jpg  3  335 269 10 14  331 217 49 55  263 164 10 13
MarioNet64_Color\frame_7175.jpg  3  335 270 10 13  332 217 48 55  263 164 12 13
MarioNet64_Color\frame_7176.jpg  3  352 278 18 8  326 221 54 58  262 166 16 12
MarioNet64_Color\frame_7177.jpg  3  352 278 17 8  328 221 52 58  262 166 16 12
MarioNet64_Color\frame_7178.jpg  3  316 278 21 19  325 226 54 58  262 159 13 16
MarioNet64_Color\frame_7179.jpg  3  316 277 21 22  325 231 54 52  262 159 13 16
MarioNet64_Color\frame_7180.jpg  2  311 287 18 20  318 231 60 66
MarioNet64_Color\frame_7181.jpg  2  311 287 18 20  318 231 60 66
MarioNet64_Color\frame_7182.jpg  2  301 238 76 76  271 160 9 12
MarioNet64_Color\frame_7183.jpg  2  301 238 76 76  271 160 9 12
MarioNet64_Color\frame_7184.jpg  2  295 242 79 79  263 167 17 12
MarioNet64_Color\frame_7185.jpg  2  295 242 79 79  264 167 16 12
MarioNet64_Color\frame_7186.jpg  2  285 247 86 91  261 166 11 18
MarioNet64_Color\frame_7187.jpg  2  285 247 86 91  261 166 11 18
MarioNet64_Color\frame_7188.jpg  3  279 325 29 29  293 255 79 84  263 175 11 10
MarioNet64_Color\frame_7189.jpg  3  280 325 28 29  293 255 79 84  263 174 11 11
MarioNet64_Color\frame_7190.jpg  3  269 350 38 30  286 265 83 94  263 174 11 12
MarioNet64_Color\frame_7191.jpg  3  269 350 38 30  286 265 83 94  263 174 11 12
MarioNet64_Color\frame_7192.jpg  3  272 373 16 7  278 273 93 103  263 174 13 19
MarioNet64_Color\frame_7193.jpg  3  272 373 24 7  278 273 93 103  263 174 13 19
MarioNet64_Color\frame_7194.jpg  2  270 286 99 94  254 181 20 13
MarioNet64_Color\frame_7195.jpg  2  270 286 99 94  254 181 20 13
MarioNet64_Color\frame_7196.jpg  2  261 292 112 88  255 180 18 15
MarioNet64_Color\frame_7197.jpg  2  261 292 110 88  255 180 18 15
MarioNet64_Color\frame_7198.jpg  2  252 307 124 73  254 181 11 19
MarioNet64_Color\frame_7199.jpg  2  252 307 124 73  254 181 11 19
MarioNet64_Color\frame_7200.jpg  2  248 323 121 57  250 182 17 19
MarioNet64_Color\frame_7201.jpg  2  248 323 121 57  250 182 17 19
MarioNet64_Color\frame_7202.jpg  2  271 349 83 31  252 182 13 25
MarioNet64_Color\frame_7203.jpg  2  271 349 83 31  255 182 10 25
MarioNet64_Color\frame_7204.jpg  2  295 373 33 7  245 181 18 23
MarioNet64_Color\frame_7205.jpg  2  295 373 33 7  245 181 18 23
MarioNet64_Color\frame_7206.jpg  1  246 180 14 21
MarioNet64_Color\frame_7207.jpg  1  246 180 14 21
MarioNet64_Color\frame_7208.jpg  1  245 179 13 23
MarioNet64_Color\frame_7209.jpg  1  245 179 13 22
MarioNet64_Color\frame_7210.jpg  1  245 183 12 19
MarioNet64_Color\frame_7211.jpg  1  245 183 12 19
MarioNet64_Color\frame_7212.jpg  1  246 182 19 19
MarioNet64_Color\frame_7213.jpg  1  246 182 19 19
MarioNet64_Color\frame_7214.jpg  1  239 175 22 20
MarioNet64_Color\frame_7215.jpg  1  239 175 22 20
MarioNet64_Color\frame_7216.jpg  1  247 172 10 27
MarioNet64_Color\frame_7217.jpg  1  247 172 10 27
MarioNet64_Color\frame_7218.jpg  1  245 173 22 21
MarioNet64_Color\frame_7219.jpg  1  246 173 21 21
MarioNet64_Color\frame_7220.jpg  1  247 167 26 27
MarioNet64_Color\frame_7221.jpg  1  247 167 26 26
MarioNet64_Color\frame_7222.jpg  1  255 166 22 29
MarioNet64_Color\frame_7223.jpg  1  255 166 22 29
